method,attack,intensity,mean_nc,self_check
Jiao23-Dual,quantization,0.01,0.4920330226275462,fail
Jiao23-Dual,quantization,0.02,0.5046019666326927,fail
Qiu19-RI,quantization,0.001,0.5138024394588651,pass
Qiu19-RI,quantization,0.003,0.5023201533984091,pass
Qiu19-RI,quantization,0.005,0.5008110016084187,pass
Qiu19-RI,quantization,0.01,0.5225887155403004,pass
Qiu19-RI,quantization,0.02,0.48496450327667423,pass
Ours,quantization,0.001,0.8867594599723816,pass
Ours,quantization,0.003,0.8857421875,pass
Ours,quantization,0.005,0.8922526240348816,pass
Ours,quantization,0.01,0.8826090693473816,pass
Ours,quantization,0.02,0.8964030146598816,pass
PC-Reversible26,point_delete,0.1,0.49123140501907897,fail
PC-Reversible26,point_delete,0.2,0.49102288189217175,fail
PC-Reversible26,point_delete,0.4,0.49253144268570265,fail
PC-Reversible26,point_delete,0.6,0.4926050886757265,fail
PC-Reversible26,point_delete,0.8,0.4842552949887969,fail
Nan25-Curvature,point_delete,0.1,0.5161343060806899,pass
Nan25-Curvature,point_delete,0.2,0.5098909539680788,pass
Nan25-Curvature,point_delete,0.4,0.519664900110087,pass
Nan25-Curvature,point_delete,0.6,0.5164062118402334,pass
Nan25-Curvature,point_delete,0.8,0.5220924810255284,pass
Nan25-ZW,point_delete,0.1,0.6321614583333334,pass
Nan25-ZW,point_delete,0.2,0.6178385416666666,pass
Nan25-ZW,point_delete,0.4,0.6315104166666666,pass
Nan25-ZW,point_delete,0.6,0.62890625,pass
Nan25-ZW,point_delete,0.8,0.62109375,pass
Jiao23-Dual,point_delete,0.1,0.486615382473389,fail
Jiao23-Dual,point_delete,0.2,0.4840991053211356,fail
Jiao23-Dual,point_delete,0.4,0.5179315097588812,fail
Jiao23-Dual,point_delete,0.6,0.4746372393401728,fail
Jiao23-Dual,point_delete,0.8,0.5089192276009843,fail
Qiu19-RI,point_delete,0.1,0.4812421365294954,pass
Qiu19-RI,point_delete,0.2,0.516026243044732,pass
Qiu19-RI,point_delete,0.4,0.5008518568352914,pass
Qiu19-RI,point_delete,0.6,0.4814559601764765,pass
Qiu19-RI,point_delete,0.8,0.5205413816140151,pass
Ours,point_delete,0.1,0.8694254755973816,pass
Ours,point_delete,0.2,0.8794352412223816,pass
Ours,point_delete,0.4,0.8275553584098816,pass
Ours,point_delete,0.6,0.7897135615348816,pass
Ours,point_delete,0.8,0.754638671875,pass
PC-Reversible26,crop,0.1,0.4844308641726278,fail
PC-Reversible26,crop,0.2,0.4665782140055525,fail
PC-Reversible26,crop,0.4,0.49641067081708395,fail
PC-Reversible26,crop,0.6,0.5196972092733578,fail
PC-Reversible26,crop,0.8,0.5005311639516307,fail
Nan25-Curvature,crop,0.1,0.5115737266137623,pass
Nan25-Curvature,crop,0.2,0.4829049633870926,pass
Nan25-Curvature,crop,0.4,0.48398606987042264,pass
Nan25-Curvature,crop,0.6,0.524286475028151,pass
Nan25-Curvature,crop,0.8,0.49851402347097,pass
Nan25-ZW,crop,0.1,0.6100260416666666,pass
Nan25-ZW,crop,0.2,0.6139322916666666,pass
Nan25-ZW,crop,0.4,0.6158854166666666,pass
Nan25-ZW,crop,0.6,0.6002604166666666,pass
Nan25-ZW,crop,0.8,0.5735677083333334,pass
Jiao23-Dual,crop,0.1,0.48349791991613156,fail
Jiao23-Dual,crop,0.2,0.4922197997452041,fail
Jiao23-Dual,crop,0.4,0.5367133164223361,fail
Jiao23-Dual,crop,0.6,0.481600185193608,fail
Jiao23-Dual,crop,0.8,0.5403664728967063,fail
Qiu19-RI,crop,0.1,0.4914451234795356,pass
Qiu19-RI,crop,0.2,0.5229258956216676,pass
Qiu19-RI,crop,0.4,0.5088904736185539,pass
Qiu19-RI,crop,0.6,0.49527100469795854,pass
Qiu19-RI,crop,0.8,0.49901431757912523,pass
Ours,crop,0.1,0.7899169921875,pass
Ours,crop,0.2,0.7932942509651184,pass
Ours,crop,0.4,0.7613118290901184,pass
Ours,crop,0.6,0.6947428584098816,pass
Ours,crop,0.8,0.6580403447151184,pass
PC-Reversible26,simplify,0.1,0.49123140501907897,fail
PC-Reversible26,simplify,0.2,0.49102288189217175,fail
PC-Reversible26,simplify,0.4,0.49253144268570265,fail
PC-Reversible26,simplify,0.6,0.4926050886757265,fail
PC-Reversible26,simplify,0.8,0.4842552949887969,fail
Nan25-Curvature,simplify,0.1,0.5161343060806899,pass
Nan25-Curvature,simplify,0.2,0.5098909539680788,pass
Nan25-Curvature,simplify,0.4,0.519664900110087,pass
Nan25-Curvature,simplify,0.6,0.5164062118402334,pass
Nan25-Curvature,simplify,0.8,0.5220924810255284,pass
Nan25-ZW,simplify,0.1,0.6321614583333334,pass
Nan25-ZW,simplify,0.2,0.6178385416666666,pass
Nan25-ZW,simplify,0.4,0.6315104166666666,pass
Nan25-ZW,simplify,0.6,0.62890625,pass
Nan25-ZW,simplify,0.8,0.62109375,pass
Jiao23-Dual,simplify,0.1,0.486615382473389,fail
Jiao23-Dual,simplify,0.2,0.4840991053211356,fail
Jiao23-Dual,simplify,0.4,0.5179315097588812,fail
Jiao23-Dual,simplify,0.6,0.4746372393401728,fail
Jiao23-Dual,simplify,0.8,0.5089192276009843,fail
Qiu19-RI,simplify,0.1,0.4812421365294954,pass
Qiu19-RI,simplify,0.2,0.516026243044732,pass
Qiu19-RI,simplify,0.4,0.5008518568352914,pass
