id,group,auc_mean,eer_mean,similarity_mean,tar_far5_mean,negative_q95,negative_max,distinct,collisions
full_seed2026,reference,0.8866099449595543,0.14699710012210013,0.8219252366286057,0.6670673076923077,0.760498046875,0.8779296875,64,0
loss_no_contrastive,loss,0.8985436221764347,0.13721001221001222,0.8269054706280048,0.5841346153846154,0.76953125,0.9248046875,64,0
loss_no_bit_stability,loss,0.8943589505112943,0.14671092796092797,0.8178746150090144,0.6526442307692307,0.740234375,0.87109375,64,0
loss_no_tail,loss,0.8941404461423992,0.1392513736263736,0.8123239370492789,0.6514423076923077,0.73046875,0.87109375,64,0
loss_no_separation,loss,0.9031056833791209,0.1408253205128205,0.8293586144080529,0.6466346153846154,0.75830078125,0.8955078125,64,0
loss_no_curriculum,loss,0.8946340931204213,0.14169337606837606,0.8166351318359375,0.6622596153846154,0.751220703125,0.892578125,64,0
loss_clean_only,loss,0.9029715401785714,0.1404246794871795,0.7835423396183894,0.5492788461538461,0.674072265625,0.859375,64,0
feature_geometry,feature,0.9076588017017705,0.12528617216117216,0.8431783822866586,0.671875,0.771484375,0.90625,64,0
feature_geometry_type,feature,0.9009665464743589,0.13805898962148963,0.8315206674429086,0.5865384615384616,0.7685546875,0.9287109375,64,0
feature_geometry_attributes,feature,0.9005703768887362,0.1337282509157509,0.8367931659405048,0.6622596153846154,0.7783203125,0.904296875,64,0
feature_geometry_depth,feature,0.9096864507020757,0.1298840048840049,0.8402240459735577,0.7115384615384616,0.739501953125,0.84375,64,0
feature_geometry_boundary,feature,0.883936023828602,0.14384920634920634,0.8308528019831731,0.6538461538461539,0.74755859375,0.912109375,64,0
graph_untyped,graph,0.8809306199442919,0.149629884004884,0.8251495361328125,0.609375,0.753173828125,0.900390625,64,0
graph_no_edges,graph,0.8873358087225275,0.15213865995115994,0.8370208740234375,0.6298076923076923,0.744140625,0.876953125,64,0
graph_hierarchy_only,graph,0.8834847064827535,0.15355044261294262,0.8356675368088943,0.4987980769230769,0.768798828125,0.8779296875,64,0
graph_no_spatial,graph,0.8768860533997253,0.15998931623931625,0.8368459848257211,0.47115384615384615,0.770751953125,0.8955078125,64,0
graph_no_reverse,graph,0.8810769850808913,0.16111492673992672,0.8077239990234375,0.5745192307692307,0.76171875,0.90625,64,0
graph_edge_drop_20,graph,0.8878962292048229,0.15002098595848595,0.8123028094951923,0.5997596153846154,0.763671875,0.8916015625,64,0
graph_edge_drop_40,graph,0.8925676916399573,0.14553762210012208,0.8112734281099759,0.5276442307692307,0.78125,0.8857421875,64,0
graph_edge_drop_60,graph,0.8896326384119353,0.15543917887667888,0.8061769925631009,0.4543269230769231,0.776611328125,0.9150390625,64,0
graph_random_rewire,graph,0.8875030405792125,0.14617673992673993,0.8169943002554086,0.5396634615384616,0.761962890625,0.912109375,64,0
graph_hierarchy_flattened,graph,0.9015049078525641,0.14109241452991453,0.8178182748647836,0.5841346153846154,0.7412109375,0.896484375,64,0
full_seed2027,multiseed,0.9046811207455738,0.12979815323565325,0.8166210467998798,0.6274038461538461,0.7119140625,0.8779296875,64,0
full_seed2028,multiseed,0.9048143696581197,0.1310382326007326,0.8386723445012019,0.6682692307692307,0.759033203125,0.9033203125,64,0
