method,trainable_parameters,checkpoint_mib,tensorize_ms_mean,inference_ms_mean,batch_64_seconds,models_per_second,peak_gpu_mib
rgcn,234849,1.9041929244995117,0.4057072219438851,0.7335760165005922,0.0469488650560379,1363.1852425742338,77.58642578125
deepsets,234849,1.9039888381958008,0.20323158241808414,0.42889046017080545,0.02744898945093155,2331.59767555042,13.2490234375
personalized,234849,1.907841682434082,0.37384050665423274,0.7266727625392377,0.046507056802511215,1376.135244846202,77.6201171875
