variant,models,bits,distinct,collision_pairs,negative_mean,negative_q95,negative_max,far5_threshold,far1_threshold
Base,64,1024,64,0,0.5773644825768849,0.75830078125,0.8955078125,0.8095703125000001,0.8164062500000001
Separation,64,1024,64,0,0.5797952318948413,0.760498046875,0.8779296875,0.7949218750000001,0.8154296875000001
Personalized,64,1024,64,0,0.49494522336929564,0.563720703125,0.6875,0.6943359375000001,0.7128906250000001
DeepSets/no-edge,64,1024,64,0,0.5868031335255456,0.744140625,0.876953125,0.8330078125000001,0.8349609375000001
