variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Base,surface_delete,0.8,0.655426025390625,0.524853515625,0.7283257378472222,0.31547619047619047,0.28416648449332577,0.40911048200871836,0.03125,0.015625
Base,attribute_delete,0.1,0.997711181640625,0.995263671875,1.0,0.0,1.0,1.0,1.0,1.0
Base,attribute_delete,0.2,0.9955291748046875,0.9912109375,1.0,0.0,1.0,1.0,1.0,1.0
Base,attribute_delete,0.4,0.989837646484375,0.982421875,1.0,0.0,1.0,1.0,1.0,1.0
Base,attribute_delete,0.6,0.9820404052734375,0.966943359375,1.0,0.0,1.0,1.0,1.0,1.0
Base,attribute_delete,0.8,0.968658447265625,0.9443359375,1.0,0.0,1.0,1.0,1.0,1.0
Base,quantization,0.001,0.95465087890625,0.9146484375,0.9999844990079365,0.000248015873015873,1.0,1.0,1.0,1.0
Base,quantization,0.005,0.9453125,0.900830078125,1.0,0.0,1.0,1.0,1.0,1.0
Base,quantization,0.01,0.940032958984375,0.897216796875,0.9996744791666666,0.015749007936507936,1.0,1.0,0.984375,0.984375
Base,quantization,0.02,0.92279052734375,0.8474609375000001,0.998779296875,0.015749007936507936,1.0,1.0,0.984375,0.984375
Base,quantization,0.05,0.8978271484375,0.801708984375,0.9967564174107143,0.033234126984126984,1.0,1.0,0.9375,0.9375
Base,rotation_z,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,rotation_z,60.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,rotation_z,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,rotation_z,120.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,rotation_z,180.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,coordinate_noise,0.0001,0.958953857421875,0.9171874999999999,1.0,0.0,1.0,1.0,1.0,1.0
Base,coordinate_noise,0.0005,0.9555206298828125,0.910888671875,1.0,0.0,1.0,1.0,1.0,1.0
Base,coordinate_noise,0.001,0.9508056640625,0.9065429687500001,0.9999844990079365,0.000496031746031746,1.0,1.0,1.0,1.0
Base,coordinate_noise,0.002,0.941131591796875,0.890625,0.9999224950396826,0.000496031746031746,1.0,1.0,1.0,1.0
Base,coordinate_noise,0.005,0.9168853759765625,0.851171875,0.9990505642361112,0.015749007936507936,1.0,1.0,0.984375,0.984375
Base,sequential,0.1,0.887237548828125,0.7974609374999999,0.9937802269345238,0.03125,0.8595719370440625,0.8735579788049099,0.875,0.859375
Base,sequential,0.2,0.828125,0.6534667968750001,0.9565817212301587,0.09077380952380952,0.6770900790036187,0.7096686429225971,0.671875,0.625
Base,sequential,0.4,0.7261810302734375,0.49467773437500007,0.8321436321924603,0.23449900793650794,0.42604288607190294,0.4688520327609714,0.25,0.234375
Base,sequential,0.6,0.6485748291015625,0.47353515625,0.6896391369047619,0.375,0.21145181873709806,0.26267904171267153,0.046875,0.03125
Base,lod2_to_lod1,1.0,0.5541229248046875,0.395166015625,0.429230220734127,0.5654761904761905,0.10432333206112482,0.3528480015553056,0.0,0.0
Base,hierarchy_flatten,0.2,0.8851776123046875,0.779736328125,0.9933539496527778,0.04303075396825397,0.820156847567799,0.9218417108998564,0.921875,0.90625
Base,hierarchy_flatten,0.4,0.8325347900390625,0.72255859375,0.9805501302083334,0.07775297619047619,0.6394001175014663,0.8526878106249899,0.6875,0.6875
Base,hierarchy_flatten,0.6,0.7865142822265625,0.66923828125,0.9440452938988095,0.13653273809523808,0.4649232145596585,0.7815182427190469,0.453125,0.4375
Base,hierarchy_flatten,0.8,0.7114410400390625,0.5735351562500001,0.8430524553571429,0.2222222222222222,0.28416648449332577,0.7045552410043592,0.109375,0.078125
Base,hierarchy_flatten,1.0,0.5725555419921875,0.40444335937500003,0.4850802951388889,0.5034722222222222,0.10432333206112482,0.6240324313823493,0.0,0.0
Base,relation_delete,0.2,0.8948974609375,0.81533203125,0.9971594432043651,0.03125,0.820156847567799,0.9247790880487524,0.953125,0.9375
Base,relation_delete,0.4,0.8462677001953125,0.765673828125,0.9866536458333334,0.046999007936507936,0.6394001175014663,0.8465056205414287,0.734375,0.703125
Base,relation_delete,0.6,0.794830322265625,0.692431640625,0.9559733072916666,0.12251984126984128,0.4649232145596585,0.7796473833961342,0.46875,0.4375
Base,relation_delete,0.8,0.716583251953125,0.5791015625,0.8436221168154762,0.23449900793650794,0.28416648449332577,0.6991408307007169,0.15625,0.109375
