variant,label,negative_mean,negative_q95,negative_max,auc_mean,eer_mean,tar_far5_mean,tar_far1_mean,far5_threshold,observed_far5
base,Lite Base,0.556700691344246,0.732177734375,0.87890625,0.8929006648733211,0.1338045634920635,0.7079326923076923,0.6935096153846154,0.7929687500000001,0.03125
projection,Lite + projection,0.4943644205729167,0.55859375,0.68359375,0.9269581330128205,0.09686927655677656,0.6682692307692307,0.6670673076923077,0.7402343750000001,0.03125
finetune,Lite + partial encoder fine-tuning,0.49452621217757936,0.558837890625,0.7236328125,0.9313768100389195,0.08377213064713064,0.6947115384615384,0.6899038461538461,0.7324218750000001,0.03125
